CommandName,SelfHosted,SharedServices,PCloudStandard
Add-VPASAccount,TRUE,TRUE,TRUE
Add-VPASAccountGroup,TRUE,TRUE,TRUE
Add-VPASAccountRequest,TRUE,TRUE,TRUE
Add-VPASAccountToAccountGroup,TRUE,TRUE,TRUE
Add-VPASAllowedIP,FALSE,TRUE,FALSE
Add-VPASAllowedReferrer,TRUE,TRUE,TRUE
Add-VPASApplication,TRUE,TRUE,TRUE
Add-VPASApplicationAuthentication,TRUE,TRUE,TRUE
Add-VPASAuthenticationMethod,TRUE,TRUE,TRUE
Add-VPASBulkAccounts,TRUE,TRUE,TRUE
Add-VPASBulkSafeMembers,TRUE,TRUE,TRUE
Add-VPASBulkSafes,TRUE,TRUE,TRUE
Add-VPASEPVGroup,TRUE,TRUE,TRUE
Add-VPASEPVUser,TRUE,TRUE,TRUE
Add-VPASIdentityRole,FALSE,TRUE,FALSE
Add-VPASIdentitySecurityQuestionAdmin,FALSE,TRUE,FALSE
Add-VPASIdentityUserSecurityQuestions,FALSE,TRUE,FALSE
Add-VPASMemberEPVGroup,TRUE,TRUE,TRUE
Add-VPASSafe,TRUE,TRUE,TRUE
Add-VPASSafeMember,TRUE,TRUE,TRUE
Approve-VPASIncomingRequest,TRUE,TRUE,TRUE
Confirm-VPASBulkFile,TRUE,TRUE,TRUE
Copy-VPASGroupPlatform,TRUE,TRUE,TRUE
Copy-VPASPlatform,TRUE,TRUE,TRUE
Copy-VPASRotationalPlatform,TRUE,TRUE,TRUE
Copy-VPASUsagePlatform,TRUE,TRUE,TRUE
Deny-VPASIncomingRequest,TRUE,TRUE,TRUE
Disable-VPASEPVUser,TRUE,TRUE,TRUE
Disable-VPASGroupPlatform,TRUE,TRUE,TRUE
Disable-VPASPlatform,TRUE,TRUE,TRUE
Disable-VPASRotationalPlatform,TRUE,TRUE,TRUE
Enable-VPASEPVUser,TRUE,TRUE,TRUE
Enable-VPASGroupPlatform,TRUE,TRUE,TRUE
Enable-VPASPlatform,TRUE,TRUE,TRUE
Enable-VPASRotationalPlatform,TRUE,TRUE,TRUE
Export-VPASPlatform,TRUE,TRUE,TRUE
Get-VPASAccountActivity,TRUE,TRUE,TRUE
Get-VPASAccountDetails,TRUE,TRUE,TRUE
Get-VPASAccountGroupMembers,TRUE,TRUE,TRUE
Get-VPASAccountGroups,TRUE,TRUE,TRUE
Get-VPASAccountPrivateSSHKey,TRUE,TRUE,TRUE
Get-VPASAccountRequestDetails,TRUE,TRUE,TRUE
Get-VPASActiveSessionActivities,TRUE,TRUE,TRUE
Get-VPASActiveSessionProperties,TRUE,TRUE,TRUE
Get-VPASActiveSessions,TRUE,TRUE,TRUE
Get-VPASAllAccountRequests,TRUE,TRUE,TRUE
Get-VPASAllAccounts,TRUE,TRUE,TRUE
Get-VPASAllActiveSessions,TRUE,TRUE,TRUE
Get-VPASAllApplications,TRUE,TRUE,TRUE
Get-VPASAllConnectionComponents,TRUE,TRUE,TRUE
Get-VPASAllDirectories,TRUE,FALSE,TRUE
Get-VPASAllEPVGroups,TRUE,TRUE,TRUE
Get-VPASAllEPVUsers,TRUE,TRUE,TRUE
Get-VPASAllGroupPlatforms,TRUE,TRUE,TRUE
Get-VPASAllIncomingRequests,TRUE,TRUE,TRUE
Get-VPASAllowedIPs,FALSE,TRUE,FALSE
Get-VPASAllowedReferrer,TRUE,TRUE,TRUE
Get-VPASAllPlatforms,TRUE,TRUE,TRUE
Get-VPASAllPSMServers,TRUE,TRUE,TRUE
Get-VPASAllPSMSessions,TRUE,TRUE,TRUE
Get-VPASAllRotationalPlatforms,TRUE,TRUE,TRUE
Get-VPASAllSafes,TRUE,TRUE,TRUE
Get-VPASAllTargetPlatforms,TRUE,TRUE,TRUE
Get-VPASAllUsagePlatforms,TRUE,TRUE,TRUE
Get-VPASApplicationAuthentications,TRUE,TRUE,TRUE
Get-VPASApplicationDetails,TRUE,TRUE,TRUE
Get-VPASAuthenticationMethods,TRUE,TRUE,TRUE
Get-VPASBulkTemplateFiles,TRUE,TRUE,TRUE
Get-VPASCurrentEPVUserDetails,TRUE,FALSE,TRUE
Get-VPASDirectoryDetails,TRUE,FALSE,TRUE
Get-VPASDirectoryMappingDetails,TRUE,FALSE,TRUE
Get-VPASDirectoryMappings,TRUE,FALSE,TRUE
Get-VPASDiscoveredAccounts,TRUE,TRUE,TRUE
Get-VPASDiscoveredAccountsDependencies,TRUE,TRUE,TRUE
Get-VPASEPVGroupDetails,TRUE,TRUE,TRUE
Get-VPASEPVUserDetails,TRUE,TRUE,TRUE
Get-VPASEPVUserDetailsSearch,TRUE,TRUE,TRUE
Get-VPASEPVUserTypes,TRUE,FALSE,FALSE
Get-VPASGroupPlatformDetails,TRUE,TRUE,TRUE
Get-VPASIdentityAdminSecurityQuestion,FALSE,TRUE,FALSE
Get-VPASIdentityAllAdminSecurityQuestions,FALSE,TRUE,FALSE
Get-VPASIdentityAllRoles,FALSE,TRUE,FALSE
Get-VPASIdentityAllUsers,FALSE,TRUE,FALSE
Get-VPASIdentityCurrentUserDetails,FALSE,TRUE,FALSE
Get-VPASIdentityCurrentUserSecurityQuestions,FALSE,TRUE,FALSE
Get-VPASIdentityRoleDetails,FALSE,TRUE,FALSE
Get-VPASIdentityRoles,FALSE,TRUE,FALSE
Get-VPASIdentityTenantDetails,FALSE,TRUE,FALSE
Get-VPASIdentityUserDetails,FALSE,TRUE,FALSE
Get-VPASIdentityUserSecurityQuestions,FALSE,TRUE,FALSE
Get-VPASIncomingRequestDetails,TRUE,TRUE,TRUE
Get-VPASPasswordHistory,TRUE,TRUE,TRUE
Get-VPASPasswordValue,TRUE,TRUE,TRUE
Get-VPASPlatformDetails,TRUE,TRUE,TRUE
Get-VPASPlatformDetailsSearch,TRUE,TRUE,TRUE
Get-VPASPSMSessionActivities,TRUE,TRUE,TRUE
Get-VPASPSMSessionDetails,TRUE,TRUE,TRUE
Get-VPASPSMSessionProperties,TRUE,TRUE,TRUE
Get-VPASPSMSessions,TRUE,TRUE,TRUE
Get-VPASPSMSettingsByPlatformID,TRUE,TRUE,TRUE
Get-VPASRotationalPlatformDetails,TRUE,TRUE,TRUE
Get-VPASSafeDetails,TRUE,TRUE,TRUE
Get-VPASSafeMembers,TRUE,TRUE,TRUE
Get-VPASSafeMemberSearch,TRUE,TRUE,TRUE
Get-VPASSafes,TRUE,TRUE,TRUE
Get-VPASSafesByPlatformID,TRUE,TRUE,TRUE
Get-VPASSpecificAuthenticationMethod,TRUE,TRUE,TRUE
Get-VPASSQLAccounts,TRUE,TRUE,TRUE
Get-VPASSQLPlatforms,TRUE,TRUE,TRUE
Get-VPASSQLSafes,TRUE,TRUE,TRUE
Get-VPASSystemComponents,TRUE,TRUE,TRUE
Get-VPASSystemHealth,TRUE,TRUE,TRUE
Get-VPASUsagePlatformDetails,TRUE,TRUE,TRUE
Get-VPASVaultDetails,TRUE,TRUE,TRUE
Get-VPASVaultVersion,TRUE,TRUE,TRUE
Import-VPASConnectionComponent,TRUE,TRUE,TRUE
Import-VPASPlatform,TRUE,TRUE,TRUE
Invoke-VPASAccountPasswordAction,TRUE,TRUE,TRUE
Invoke-VPASActivePSMSessionAction,TRUE,TRUE,TRUE
Invoke-VPASAuditSafeTest,TRUE,TRUE,TRUE
Invoke-VPASMetricsAccounts,TRUE,TRUE,TRUE
Invoke-VPASMetricsCPM,TRUE,TRUE,TRUE
Invoke-VPASMetricsPSM,TRUE,TRUE,TRUE
Invoke-VPASQuery,TRUE,TRUE,TRUE
Invoke-VPASReporting,TRUE,TRUE,TRUE
Invoke-VPASUserLicenseReport,FALSE,TRUE,TRUE
New-VPASIdentityGenerateUserPassword,FALSE,TRUE,FALSE
New-VPASPSMSession,TRUE,TRUE,TRUE
New-VPASToken,TRUE,TRUE,TRUE
Remove-VPASAccount,TRUE,TRUE,TRUE
Remove-VPASAccountFromAccountGroup,TRUE,TRUE,TRUE
Remove-VPASAccountRequest,TRUE,TRUE,TRUE
Remove-VPASAllDiscoveredAccounts,TRUE,TRUE,TRUE
Remove-VPASApplication,TRUE,TRUE,TRUE
Remove-VPASApplicationAuthentication,TRUE,TRUE,TRUE
Remove-VPASAuthenticationMethod,TRUE,TRUE,TRUE
Remove-VPASDirectory,TRUE,FALSE,TRUE
Remove-VPASEPVGroup,TRUE,TRUE,TRUE
Remove-VPASEPVUser,TRUE,TRUE,TRUE
Remove-VPASGroupPlatform,TRUE,TRUE,TRUE
Remove-VPASIdentityAdminSecurityQuestion,FALSE,TRUE,FALSE
Remove-VPASIdentityRole,FALSE,TRUE,FALSE
Remove-VPASLinkedAccount,TRUE,TRUE,TRUE
Remove-VPASMemberEPVGroup,TRUE,TRUE,TRUE
Remove-VPASPlatform,TRUE,TRUE,TRUE
Remove-VPASRotationalPlatform,TRUE,TRUE,TRUE
Remove-VPASSafe,TRUE,TRUE,TRUE
Remove-VPASSafeMember,TRUE,TRUE,TRUE
Remove-VPASToken,TRUE,TRUE,TRUE
Remove-VPASUsagePlatform,TRUE,TRUE,TRUE
Reset-VPASEPVUserPassword,TRUE,TRUE,TRUE
Reset-VPASIdentityUserSecurityQuestions,FALSE,TRUE,FALSE
Set-VPASAuditSafeTest,TRUE,TRUE,TRUE
Set-VPASIdentityUserState,FALSE,TRUE,FALSE
Set-VPASIdentityUserStatus,FALSE,TRUE,FALSE
Set-VPASLinkedAccount,TRUE,TRUE,TRUE
Set-VPASSQLConnectionDetails,TRUE,TRUE,TRUE
Test-VPASIdentityUserLocked,FALSE,TRUE,FALSE
Test-VPASSQLConnectionDetails,TRUE,TRUE,TRUE
Unlock-VPASExclusiveAccount,TRUE,TRUE,TRUE
Update-VPASAccountFields,TRUE,TRUE,TRUE
Update-VPASAuthenticationMethod,TRUE,TRUE,TRUE
Update-VPASEPVGroup,TRUE,TRUE,TRUE
Update-VPASEPVUser,TRUE,TRUE,TRUE
Update-VPASIdentityCurrentUserPassword,FALSE,TRUE,FALSE
Update-VPASIdentityRole,FALSE,TRUE,FALSE
Update-VPASPSMSettingsByPlatformID,TRUE,TRUE,TRUE
Update-VPASSafe,TRUE,TRUE,TRUE
Update-VPASSafeMember,TRUE,TRUE,TRUE
Watch-VPASActivePSMSession,TRUE,TRUE,TRUE
Write-VPASOutput,TRUE,TRUE,TRUE
